Species,MAP,Individual,FA_index
Hymenocarpos circinnatus,780,5,0.014
Hymenocarpos circinnatus,780,6,0.046
Hymenocarpos circinnatus,780,7,0.003
Hymenocarpos circinnatus,780,8,0.036
Hymenocarpos circinnatus,780,9,0.035
Hymenocarpos circinnatus,780,10,0.054
Hymenocarpos circinnatus,540,1,0.036
Hymenocarpos circinnatus,540,2,0.055
Hymenocarpos circinnatus,540,3,0.023
Hymenocarpos circinnatus,540,4,0.096
Hymenocarpos circinnatus,540,5,0.011
Hymenocarpos circinnatus,540,6,0.011
Hymenocarpos circinnatus,540,7,0.06
Hymenocarpos circinnatus,540,8,0.101
Hymenocarpos circinnatus,540,9,0.047
Hymenocarpos circinnatus,540,10,0.009
Hymenocarpos circinnatus,371,1,0.002
Hymenocarpos circinnatus,371,2,0.011
Hymenocarpos circinnatus,371,3,0.048
Hymenocarpos circinnatus,371,4,0.022
Hymenocarpos circinnatus,371,5,0.052
Hymenocarpos circinnatus,371,6,0.066
Hymenocarpos circinnatus,371,7,0.039
Hymenocarpos circinnatus,371,8,0.023
Hymenocarpos circinnatus,371,9,0.179
Hymenocarpos circinnatus,371,10,0.073
Hymenocarpos circinnatus,300,1,0.03
Hymenocarpos circinnatus,300,2,0.084
Hymenocarpos circinnatus,300,3,0.03
Hymenocarpos circinnatus,300,4,0.023
Hymenocarpos circinnatus,300,5,0.049
Hymenocarpos circinnatus,300,6,0.013
Hymenocarpos circinnatus,300,7,0.014
Hymenocarpos circinnatus,300,8,0.055
Hymenocarpos circinnatus,300,9,0.063
Hymenocarpos circinnatus,300,10,0.003
Lotus peregrinus,780,1,0.036
Lotus peregrinus,780,2,0.01
Lotus peregrinus,780,3,0.029
Lotus peregrinus,780,4,0.062
Lotus peregrinus,780,5,0.023
Lotus peregrinus,780,6,0.035
Lotus peregrinus,780,7,0.015
Lotus peregrinus,780,8,0.081
Lotus peregrinus,780,9,0.053
Lotus peregrinus,780,10,0.012
Lotus peregrinus,540,1,0.011
Lotus peregrinus,540,2,0.083
Lotus peregrinus,540,3,0.045
Lotus peregrinus,540,4,0.087
Lotus peregrinus,540,5,0.01
Lotus peregrinus,540,6,0.045
Lotus peregrinus,540,7,0.02
Lotus peregrinus,540,8,0.028
Lotus peregrinus,540,9,0.065
Lotus peregrinus,540,10,0.04
Lotus peregrinus,371,1,0.005
Lotus peregrinus,371,2,0
Lotus peregrinus,371,3,0.077
Lotus peregrinus,371,4,0.097
Lotus peregrinus,371,5,0.062
Lotus peregrinus,371,6,0.052
Lotus peregrinus,371,7,0.051
Lotus peregrinus,371,8,0.038
Lotus peregrinus,371,9,0.016
Lotus peregrinus,371,10,0.026
Picris galilaea,780,1,0.013
Picris galilaea,780,2,0.006
Picris galilaea,780,3,0.026
Picris galilaea,780,4,0.021
Picris galilaea,780,5,0.047
Picris galilaea,780,6,0.039
Picris galilaea,780,7,0.013
Picris galilaea,780,8,0.04
Picris galilaea,780,9,0.024
Picris galilaea,780,10,0.025
Picris galilaea,540,1,0.019
Picris galilaea,540,2,0.04
